bin,mean_predicted,observed_freq,n
0.0-0.1,0.0839396682427886,0.28,25
0.1-0.2,0.16744740315606343,0.3757115749525617,527
0.2-0.3,0.2570437187663855,0.3760191846522782,2085
0.3-0.4,0.3526132973460187,0.4172025723472669,3732
0.4-0.5,0.4495190174640151,0.46391199356050444,3727
0.5-0.6,0.5459894948053932,0.502866779089376,2965
0.6-0.7,0.6454691157886867,0.5679583574320416,1729
0.7-0.8,0.7449327555817689,0.6430738119312437,989
0.8-0.9,0.8462414986303706,0.7715289982425307,569
0.9-1.0,0.9511978256168871,0.8292682926829268,410
