world_cup,model,n,rps,log_loss,brier,accuracy
1998,deployed,64,0.1809817922517326,0.952483481067115,0.5669891266302477,0.515625
1998,no_wc_corr,64,0.18095508576759065,0.9511001760628781,0.5658746910230497,0.546875
1998,dixon_coles,64,0.17754255202112657,0.9397311520738789,0.5605344593224932,0.515625
1998,elo,64,0.19334279299260712,0.9921194569205336,0.5927281037022214,0.5
1998,home_prior,64,0.215705350822389,1.0686890527406776,0.6440012888500501,0.453125
1998,climatology,64,0.21870162115894018,1.0740386491485885,0.6492286958614788,0.453125
2002,deployed,64,0.21256136646332852,1.0249944366762471,0.6075349502534413,0.515625
2002,no_wc_corr,64,0.21387929847642018,1.0300035666981002,0.6110927138792661,0.484375
2002,dixon_coles,64,0.20676104996954217,1.005839961292005,0.5962844605143507,0.53125
2002,elo,64,0.22748811286351167,1.0711221769631867,0.6386244011020468,0.4375
2002,home_prior,64,0.23105522913121807,1.0735607997524723,0.6498810983446391,0.4375
2002,climatology,64,0.23352665718146148,1.080235125852819,0.6546229539919157,0.4375
2006,deployed,64,0.16922221674359103,0.8805270822980655,0.5137267305356112,0.625
2006,no_wc_corr,64,0.17186414260703992,0.8890052963322523,0.5201177802717403,0.640625
2006,dixon_coles,64,0.17187638305088476,0.8877917559317123,0.5193711507413261,0.59375
2006,elo,64,0.17093944756058907,0.8867278851549671,0.5182044071647918,0.625
2006,home_prior,64,0.2204871281980284,1.0345023525957218,0.6208289908400918,0.515625
2006,climatology,64,0.2190434029077468,1.0293251173978561,0.6175661634333889,0.515625
2010,deployed,64,0.1929115220538817,0.962608754191052,0.572180560853691,0.59375
2010,no_wc_corr,64,0.1942637262125695,0.965937361574389,0.5749906738880578,0.578125
2010,dixon_coles,64,0.19253114133830984,0.958384884973597,0.5721057891478388,0.578125
2010,elo,64,0.19814379603775345,0.9836065633422832,0.5826561180158741,0.53125
2010,home_prior,64,0.2382255711233795,1.0929528275148077,0.6644366248615765,0.375
2010,climatology,64,0.2463696159813767,1.1148214242219252,0.6803875061515369,0.375
2014,deployed,64,0.19233779010446386,0.9257220913139518,0.54698889126235,0.640625
2014,no_wc_corr,64,0.19342533858256983,0.9304936606701946,0.5505741114662375,0.640625
2014,dixon_coles,64,0.19635278006509005,0.9359179846270304,0.5511132874523477,0.59375
2014,elo,64,0.19387981337113208,0.9349511818505817,0.5550710884387209,0.625
2014,home_prior,64,0.23712804493351788,1.0516759646348266,0.6366254109806924,0.453125
2014,climatology,64,0.23980263127804313,1.0618400409202509,0.642659763795173,0.453125
2018,deployed,64,0.2033573417205179,0.9620130004683645,0.5707098257670358,0.578125
2018,no_wc_corr,64,0.20488913603017417,0.9686050366412231,0.5753803666626169,0.5625
2018,dixon_coles,64,0.20002765735085962,0.9535631616005922,0.5631771231561563,0.59375
2018,elo,64,0.21281796203610903,0.9932489590890545,0.5916663147760284,0.546875
2018,home_prior,64,0.24312664660691374,1.067382265542806,0.6488455370542092,0.390625
2018,climatology,64,0.2526847818321699,1.0962327071426081,0.6683676353075017,0.390625
2022,deployed,64,0.21973890729829576,1.0550700359971612,0.6154275949242234,0.515625
2022,no_wc_corr,64,0.21890105840376534,1.053513551269367,0.6149033692430326,0.5
2022,dixon_coles,64,0.22298857440304315,1.0670050126960122,0.6251948467335064,0.515625
2022,elo,64,0.22035486466851417,1.0574566542373462,0.6141997763416404,0.5
2022,home_prior,64,0.23770421019636567,1.0803976520621035,0.6549271888909202,0.4375
2022,climatology,64,0.23573470181134923,1.0742130080608991,0.6509153349240195,0.4375
POOLED,deployed,448,0.19587299094797306,0.9662026974302796,0.5705082400323714,0.5691964285714286
POOLED,no_wc_corr,448,0.19688254086858992,0.9698083784640578,0.5732762437762859,0.5647321428571429
POOLED,dixon_coles,448,0.19544001974269373,0.9640334161706896,0.5696830167240028,0.5602678571428571
POOLED,elo,448,0.20242382707574522,0.9884618396511362,0.5847357442201891,0.5379464285714286
POOLED,home_prior,448,0.23191888300168745,1.0670229878347737,0.6456494485460256,0.4375
POOLED,climatology,448,0.2351233445930125,1.0758151532492783,0.6519640076378591,0.4375
