date,match,result,p_home,p_away,home_val,away_val,home_share,away_share
2026-06-11,Mexico v South Africa,H,0.7508839661242857,0.07755173826971287,90200000.0,15685000.0,0.459547587423821,0.660560117919562
2026-06-12,South Korea v Czech Republic,H,0.540011951400124,0.2267861207446567,48735000.0,89155000.0,0.33565205413409555,0.5559851613980553
2026-06-13,United States v Paraguay,H,0.5144425934810856,0.23754975465011643,235695000.0,75500000.0,0.6280259529170386,0.6071572224138095
2026-06-13,Qatar v Switzerland,D,0.07970366939882054,0.7491322683347319,10575000.0,184600000.0,0.5475019414962464,0.6898355754857997
2026-06-13,Brazil v Morocco,D,0.38797408065526884,0.31775821923521175,500800000.0,289600000.0,0.5665799298563186,0.7393337845396876
2026-06-14,Australia v Turkey,H,0.4772964888196447,0.25479233224305275,49100000.0,200100000.0,0.7070852534562212,0.4693051901947938
2026-06-14,Germany v Curaçao,H,0.8852544132917965,0.035355783019334425,580099999.0,22900000.0,0.6028265609506667,0.870921122689587
2026-06-14,Netherlands v Japan,D,0.3618912018853104,0.3618912018853104,524600000.0,177025000.0,0.6031271556679696,0.6430094403702049
2026-06-14,Ivory Coast v Ecuador,H,0.24523125281867914,0.406159349311238,137525000.0,247125000.0,0.34330612346788486,0.7940269254249269
2026-06-15,Sweden v Tunisia,H,0.5416835793847475,0.22720259602204065,266389999.0,40345000.0,0.6391468116776957,0.6713090068054377
2026-06-15,Spain v Cape Verde,D,0.8495340315646729,0.04153971551400791,547400000.0,10835000.0,0.4255616885640986,0.2929962141698215
2026-06-15,Belgium v Egypt,D,0.5611869808174338,0.17277033097377478,240400000.0,120665000.0,0.5030341075538816,0.8857251914000279
2026-06-15,Saudi Arabia v Uruguay,D,0.13729377394116837,0.6032721727623982,7180000.0,278530000.0,0.27932308889321145,0.5999827671628287
2026-06-16,Iran v New Zealand,D,0.60340517580206,0.16603260802651829,10080000.0,20495000.0,0.39282930631332813,0.736832644256696
2026-06-16,France v Senegal,H,0.5984385403804535,0.1671287175615976,943300000.0,217200000.0,0.6166971757322176,0.4683658946823651
2026-06-17,Argentina v Algeria,H,0.672429073021452,0.1047231139929985,431300000.0,103300000.0,0.5434043089328462,0.48132702746779116
2026-06-17,Austria v Jordan,H,0.5984385403804535,0.1671287175615976,127400000.0,2060000.0,0.537643484132343,0.16603530265172886
